	val_loss	loss
0	2943.865056818182	3828.3945460464015
1	1562.1025390625	2765.4229280105747
2	558.1866122159091	1816.1010631214488
3	-408.1448697176847	947.4058998184975
4	-1186.622469815341	80.46569577612058
5	-2151.9509499289775	-750.4692598593356
6	-2855.8282581676135	-1378.3068305121528
7	-3548.6073774857955	-2131.519341362847
8	-3989.423739346591	-2709.076445608428
9	-4711.000355113636	-3252.6258779198233
10	-5794.619806463068	-3895.5493953203913
11	-6239.739124644886	-4397.73551925505
12	-7042.771883877841	-5038.073962279041
13	-7728.030983664773	-5579.960251933397
14	-8094.385564630682	-6210.791538431187
15	-8864.013494318182	-6768.05634469697
16	-9259.151411576704	-7238.694967250632
17	-9793.165305397728	-7728.796983506944
18	-10542.39053622159	-8426.80846551452
19	-11074.160422585228	-9067.79844341856
20	-11591.621715198864	-9604.281102035984
21	-12124.494850852272	-10093.877781723484
22	-12866.8662109375	-10657.49702099116
23	-13559.314009232954	-11130.733960700758
24	-14573.256214488636	-11957.398151436237
25	-15346.063121448864	-12285.812569049875
26	-15972.062233664772	-13050.787178424875
27	-16211.50008877841	-13571.408351089016
28	-16988.828125	-13943.210621843435
29	-17236.838334517044	-14689.927152383207
30	-17784.51580255682	-15628.661024305555
31	-17893.072265625	-15773.690705886995
32	-19958.90021306818	-16676.011876578283
33	-19428.422940340908	-17506.99354876894
34	-20942.015625	-18039.529178503788
35	-20335.23259943182	-18528.38849431818
36	-21258.981356534092	-19429.402107007576
37	-21905.841086647728	-19855.35537010732
38	-22091.21875	-20696.086095328283
39	-22034.553799715908	-21286.926708491163
40	-23674.369140625	-21711.201290246212
41	-23865.81072443182	-22258.875887784092
42	-23078.143110795456	-23120.85325915404
43	-23589.726917613636	-23663.24599510732
44	-23956.21892755682	-24172.236485953283
45	-24345.735440340908	-24687.35819128788
46	-24212.173295454544	-24896.250966698233
47	-24770.295276988636	-25462.925662878788
48	-25422.653053977272	-25703.398121843435
49	-25113.96875	-26154.54484296086
50	-26112.482776988636	-26580.537582859848
51	-24783.998757102272	-27009.095229640152
52	-25138.47088068182	-27147.686197916668
53	-25231.866477272728	-27703.63620580808
54	-28133.375	-27952.106948390152
55	-27364.882102272728	-28366.096709280304
56	-27656.468039772728	-28430.491279987375
57	-28254.780184659092	-28941.19545059975
58	-28503.785688920456	-29034.43613873106
59	-28429.25994318182	-29426.085779671717
60	-28803.442116477272	-29621.075816761364
61	-30239.936257102272	-29576.850516887625
62	-29100.64453125	-29684.68219302399
63	-28904.67400568182	-30324.32591540404
64	-29353.009410511364	-30319.333530618685
65	-30995.53302556818	-30154.336884469696
66	-30623.84783380682	-30711.159761679293
67	-30240.580078125	-30540.769807449495
68	-30233.330788352272	-30701.96598800505
69	-31086.432883522728	-30798.578243371212
70	-31207.29865056818	-31043.5911261048
71	-31015.34552556818	-31112.10728377525
72	-31532.563565340908	-31055.71697443182
73	-32036.686434659092	-31241.183199179293
74	-31339.18181818182	-31318.186572758837
75	-31549.192471590908	-31521.235617897728
76	-31639.438387784092	-31271.469677241163
77	-32304.026988636364	-31537.771819760103
78	-31896.123757102272	-31451.693300189392
79	-31959.680752840908	-31593.55877130682
80	-32196.53533380682	-31707.201231060608
81	-31839.043501420456	-31832.038569286615
82	-32426.11328125	-31959.087653882576
83	-32099.596590909092	-31974.264026988636
84	-32226.37908380682	-32075.93580334596
85	-32265.714488636364	-32118.778645833332
86	-31706.194069602272	-32078.61055871212
87	-33139.013849431816	-31877.65555950126
88	-32901.62020596591	-32032.16287878788
89	-32616.788352272728	-32205.754932133837
90	-32527.637251420456	-32248.27860637626
91	-32598.160511363636	-32294.9381707702
92	-32940.806463068184	-32349.365609217173
93	-32993.26331676136	-32441.883187342173
94	-32606.545987215908	-32380.22983743687
95	-32709.381747159092	-32429.90802556818
96	-32655.644886363636	-32608.391019570707
97	-33011.85067471591	-32628.48238241793
98	-32933.408380681816	-32576.23828125
99	-33121.12340198864	-32479.692353219696
