	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
GSM505338	0.619095	0.3050626	0.4376875	0.22514963	0.62900245	0.47396275	0.49006137	0.34789753	0.5455135	0.2957244	0.60365534	0.4690511	0.30445105	0.47138336	0.5278668	0.4437034	0.53771234	0.67360824	0.46195507	0.48296997	0.4138833	0.43292242	0.5159363	0.6097994	0.32568508	0.5462111	0.44538766	0.5420232	0.26664555	0.31352735	0.2512138	0.4970829	0.57104546	0.4073259	0.48359716	0.5199432	0.60619426	0.296488	0.5653877	0.60270983	0.62970674	0.47995993	0.4998474	0.33810753	0.64115894	0.53647536	0.4975458	0.49718085	0.3945014	0.22882268	0.6286226	0.43427402	0.23840064	0.43250018	0.47361493	0.20242685	0.2692875	0.61521363	0.2372038	0.43746394	0.46406844	0.70698094	0.70470285	0.69721746	0.5032016	0.24861795	0.40153664	0.32962203	0.60311234	0.38301018	0.24138182	0.32441658	0.28106332	0.5424653	0.26031885	0.28584749	0.66227835	0.27448452	0.6374705	0.7077236	0.41196603	0.6097689	0.68981063	0.5058471	0.3921032	0.45465517	0.50653434	0.55459327	0.5883916	0.3338541	0.28584164	0.32281226	0.30330685	0.56854534	0.4948308	0.30486894	0.5162157	0.5368556	0.6781761	0.2789805
GSM505339	0.46846962	0.48840445	0.56346464	0.47616553	0.5138041	0.5118031	0.56116164	0.582546	0.6650123	0.5212066	0.4448341	0.18569124	0.56993175	0.43451962	0.2534976	0.4590912	0.3838336	0.5629189	0.6066595	0.25180423	0.42571494	0.5842263	0.40686634	0.7136866	0.53677213	0.650298	0.48217216	0.39960465	0.53159416	0.5113222	0.48794997	0.4186142	0.42942616	0.46905267	0.60657674	0.5259303	0.518507	0.527652	0.5873438	0.47392258	0.59023833	0.49801657	0.5284632	0.5600136	0.6453922	0.6655179	0.21607092	0.5914757	0.3590318	0.48033476	0.49207437	0.64051855	0.4757512	0.4749572	0.6133311	0.47436476	0.4959415	0.29498535	0.44536796	0.48261943	0.5025725	0.65164214	0.5911724	0.6276319	0.6130358	0.51611215	0.5659418	0.53243333	0.49073675	0.39065236	0.46612787	0.52806133	0.50960547	0.6356838	0.4370796	0.4801426	0.61247355	0.52691305	0.54168206	0.62024534	0.45266438	0.4512429	0.5561377	0.58507264	0.3907069	0.21458974	0.19265053	0.39550236	0.4771418	0.48220125	0.4953283	0.4838261	0.35719797	0.44755456	0.5687117	0.50992477	0.5525349	0.63960457	0.6190125	0.50253206
GSM505340	0.550672	0.5509058	0.6503662	0.48161423	0.52579784	0.43822476	0.6841214	0.6122094	0.69419366	0.5516957	0.5108769	0.23562467	0.5911077	0.39418277	0.24914443	0.44906437	0.47075018	0.59829426	0.6591868	0.25596735	0.39593974	0.6375884	0.46458253	0.75609696	0.60454035	0.7308087	0.43550423	0.45000234	0.5757775	0.54427415	0.52911884	0.42361712	0.45362908	0.40435845	0.64758676	0.50528985	0.57587373	0.56166464	0.48814416	0.5313594	0.5336643	0.44892555	0.500776	0.5893334	0.6042108	0.7293819	0.23075563	0.6179323	0.39248726	0.52743125	0.54347557	0.6655997	0.5072548	0.38749656	0.67569363	0.5064896	0.5322615	0.29724157	0.48906702	0.42531174	0.39562085	0.64624774	0.5619022	0.6245476	0.6826696	0.5218498	0.636665	0.58880985	0.46576867	0.33913088	0.518899	0.59022766	0.53452003	0.6976952	0.4756613	0.52606916	0.5894527	0.55536336	0.5559885	0.6078464	0.37557656	0.5207294	0.5530212	0.49880043	0.34849912	0.17928544	0.20611545	0.48394814	0.51745915	0.515331	0.5514952	0.54576373	0.31889045	0.4753269	0.67611086	0.5607919	0.50180805	0.7105274	0.6431878	0.562665
GSM505341	0.5342312	0.5286433	0.5386505	0.4637998	0.43726355	0.40942907	0.60037893	0.58413744	0.65703726	0.536969	0.5058073	0.1761773	0.5774098	0.35189772	0.23496664	0.39237285	0.4629085	0.5988554	0.6077977	0.25379848	0.36465818	0.5732168	0.48041373	0.68992585	0.59297746	0.68053913	0.4012502	0.45168805	0.54003245	0.58688164	0.5165752	0.37301737	0.44365996	0.35795197	0.5746396	0.4700523	0.5519037	0.5301279	0.4955757	0.5299145	0.4743271	0.41985002	0.48811966	0.6126933	0.5460456	0.6595614	0.20777276	0.5582219	0.3711086	0.50602144	0.5512493	0.6304073	0.5063474	0.3527106	0.6316396	0.4940375	0.5502837	0.2725191	0.4973443	0.36707214	0.3926605	0.6086684	0.5174798	0.655529	0.64039016	0.52414507	0.5770036	0.6056752	0.44816655	0.33412504	0.5063615	0.6174327	0.5374391	0.6329268	0.4736818	0.56439334	0.50398153	0.5502291	0.51362854	0.59350395	0.37240824	0.4957701	0.5339197	0.44408837	0.32511348	0.15381667	0.18243483	0.47105533	0.50286686	0.5561542	0.56851757	0.6089374	0.25460207	0.4797807	0.5806966	0.55868137	0.49414614	0.6304648	0.6215459	0.54542947
GSM505342	0.5751838	0.47774357	0.49828196	0.39849487	0.49193308	0.49218982	0.51005715	0.5080274	0.57841945	0.50284904	0.5272209	0.17200354	0.5301822	0.40777883	0.20233068	0.4856507	0.50136757	0.6174331	0.514999	0.21759444	0.43577245	0.47586393	0.5162691	0.63828385	0.53138334	0.60653746	0.4616812	0.48916647	0.500954	0.5545508	0.4664982	0.44584858	0.48111352	0.424837	0.49867246	0.5456306	0.5970774	0.44907987	0.57077354	0.57007617	0.5147147	0.51269114	0.49192047	0.57292503	0.6267183	0.557246	0.19077113	0.5230845	0.37559628	0.44816047	0.60424185	0.55298966	0.4189169	0.4351705	0.5413559	0.41277823	0.4857445	0.24508142	0.45318267	0.4466937	0.49909434	0.651716	0.5534065	0.6774339	0.5685649	0.46016693	0.49256667	0.5247721	0.4985883	0.40850496	0.4573572	0.5515347	0.5018424	0.5395359	0.39091745	0.51486015	0.5929654	0.49090087	0.5726502	0.62681973	0.43519056	0.55612934	0.5676618	0.5218794	0.38154835	0.13608527	0.15125811	0.5054923	0.58018285	0.512685	0.546668	0.5811819	0.3345227	0.5217651	0.5011605	0.52930194	0.55492157	0.55989206	0.6668099	0.48446783
GSM505343	0.5585447	0.5208539	0.5968023	0.49182916	0.543494	0.3239693	0.6426028	0.5827153	0.6885239	0.5366364	0.5462102	0.34509557	0.59396154	0.25419483	0.43369734	0.3199391	0.47286582	0.58617026	0.6314429	0.30673772	0.31545234	0.60671604	0.45623106	0.7301144	0.5647266	0.67279303	0.36827898	0.43137103	0.56875473	0.5491997	0.5097837	0.43664202	0.4955611	0.27013904	0.61302215	0.38740513	0.5513278	0.54963195	0.42219794	0.5546816	0.5797126	0.34766436	0.48317608	0.548279	0.4865961	0.68590367	0.386993	0.586953	0.27591547	0.5085587	0.5753583	0.65863866	0.49683744	0.27087563	0.65287954	0.46348804	0.5000024	0.48287055	0.46007544	0.30899596	0.30997264	0.61115235	0.57137024	0.6181357	0.62372524	0.50979	0.6006044	0.57455456	0.4714456	0.29192987	0.48277283	0.5699558	0.5144634	0.6766656	0.46400172	0.50487185	0.6073613	0.54684174	0.50584257	0.670208	0.30707887	0.5190535	0.63490415	0.33747616	0.27680808	0.28984767	0.33024633	0.5164885	0.54446906	0.52623355	0.4874113	0.5399683	0.20440406	0.5031186	0.64128995	0.51819307	0.3620015	0.67417866	0.60408515	0.54715574
GSM505344	0.5176788	0.52965456	0.56393516	0.5059922	0.47542685	0.54984653	0.6021038	0.6038974	0.63903016	0.5389407	0.44778118	0.297715	0.61064446	0.4886261	0.33549687	0.4906509	0.4274314	0.6081256	0.60154593	0.31457454	0.45564413	0.54938847	0.45110545	0.6875287	0.59510213	0.68160504	0.4529937	0.42881364	0.561157	0.5543866	0.5160943	0.3852608	0.41419923	0.4999291	0.5726026	0.57258856	0.5220129	0.5412981	0.624021	0.52787447	0.48712334	0.5366387	0.52182674	0.6110175	0.6652051	0.6746228	0.33028138	0.5926784	0.41955087	0.502509	0.5008456	0.6259981	0.51261085	0.45474	0.6416007	0.501348	0.55439115	0.41630456	0.49926975	0.51671284	0.5145409	0.6598994	0.54861444	0.64496446	0.60629046	0.5455911	0.5796008	0.58891267	0.43592802	0.4324872	0.5070896	0.5863652	0.55342525	0.64017713	0.4516769	0.54932386	0.55477005	0.57553715	0.55967087	0.5891646	0.4868069	0.44940624	0.5242262	0.6103125	0.43866464	0.25812668	0.26899612	0.4495353	0.46447256	0.52527416	0.59776884	0.5415396	0.3956102	0.43015307	0.60821265	0.58545077	0.59123015	0.6081241	0.62062824	0.52725405
GSM505345	0.5235067	0.44590583	0.5113611	0.34380043	0.5204459	0.45558614	0.57260025	0.45245248	0.5785786	0.44281167	0.47722208	0.54685944	0.48611987	0.39764965	0.6474714	0.40427363	0.4482515	0.52065706	0.53086776	0.42364997	0.39874923	0.47751236	0.4101313	0.67090493	0.47230163	0.60207427	0.38767564	0.39685577	0.4378614	0.49286455	0.3786757	0.35060325	0.43523836	0.42267632	0.5028465	0.50658816	0.49544725	0.4175057	0.50358737	0.5077117	0.554791	0.47623795	0.46484312	0.51461285	0.6395293	0.596375	0.5264008	0.5409531	0.35330993	0.3799879	0.5280588	0.5378727	0.3789512	0.38929057	0.5548557	0.34943748	0.38272092	0.6778897	0.4030466	0.4351232	0.45092514	0.57441866	0.61273825	0.58734614	0.5459648	0.41780683	0.4888584	0.48588106	0.4950755	0.3463454	0.4030061	0.5005921	0.48621055	0.60841715	0.37706953	0.45809516	0.6002367	0.44439876	0.53496104	0.6287215	0.37325394	0.5054098	0.5713059	0.5060646	0.39332515	0.48378477	0.5465235	0.42469278	0.48340237	0.4563328	0.44698292	0.49895424	0.3079754	0.4579923	0.55747384	0.45592368	0.50248396	0.5637612	0.5421444	0.41519472
GSM505346	0.45853105	0.49169362	0.59087026	0.48034087	0.54123116	0.5519305	0.61027765	0.5796054	0.6677478	0.50718385	0.3861128	0.13720924	0.54097867	0.49976498	0.18927279	0.5282486	0.39799345	0.624173	0.58695924	0.19516045	0.4692924	0.57892984	0.4049697	0.74573255	0.5831947	0.6481743	0.45577127	0.38091898	0.537616	0.50542885	0.4970793	0.4218619	0.38315487	0.4957721	0.60937667	0.5467141	0.46863055	0.53219575	0.6423404	0.47929975	0.5740084	0.53806305	0.4919159	0.5499289	0.6876353	0.68342406	0.19197142	0.6016438	0.38668692	0.46390396	0.4328002	0.6403686	0.46557534	0.48413122	0.6314787	0.45993602	0.52763987	0.23142782	0.45878512	0.54788804	0.5654367	0.6595416	0.6099602	0.67779267	0.62981415	0.552367	0.5830814	0.5638999	0.565107	0.45843175	0.4693247	0.5735764	0.50723577	0.6354515	0.46100014	0.46745804	0.6328072	0.51772827	0.56643003	0.5911371	0.50685316	0.42281094	0.57445896	0.5914144	0.43674466	0.152919	0.16047752	0.4289517	0.43883887	0.49325258	0.48164734	0.5003951	0.36033192	0.37840062	0.62287796	0.50515157	0.5950105	0.65722376	0.64977413	0.53088915
GSM505347	0.55179936	0.51706403	0.53683895	0.42839882	0.5295656	0.5063436	0.5891113	0.5765774	0.6500813	0.4922145	0.49382237	0.1203413	0.54684544	0.4272055	0.18515942	0.46893787	0.4893524	0.6099146	0.5850002	0.17601058	0.43907395	0.56228346	0.5075592	0.6973209	0.56293744	0.6639245	0.46816695	0.49938324	0.5050095	0.5190487	0.49504754	0.38948917	0.5039483	0.4338253	0.571731	0.5359963	0.571117	0.50151056	0.5911294	0.53429943	0.5313056	0.45077667	0.537393	0.5401309	0.6593567	0.6680047	0.18006566	0.577305	0.40962076	0.4517285	0.5844977	0.62851286	0.44311982	0.45657125	0.60570854	0.44387022	0.48084357	0.21707612	0.4258174	0.45822838	0.4565803	0.6258222	0.5813851	0.65414655	0.6573136	0.48611242	0.5699552	0.5563641	0.51208603	0.4352426	0.46973148	0.5645528	0.48419386	0.6283697	0.4059646	0.44347355	0.6077525	0.51774526	0.5492162	0.64125097	0.4322946	0.52003044	0.60219747	0.53087497	0.39998123	0.12817508	0.13815877	0.48747563	0.53758705	0.49350035	0.48319057	0.5067005	0.32880896	0.51319665	0.5970445	0.46761206	0.5461649	0.6499996	0.6223688	0.48884457
